shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
TUN,1,0.3777777850627899,0,6.454545497894287,8.4826021194458,4.143134593963623,0,0,1,69.5,30.299999237060547,19.600000381469727,0.479654997587204,0.37777799367904663
TUR,0,0.4333333373069763,0,7.454545497894287,8.641179084777832,NA,1,0,NA,NA,NA,NA,NA,NA
TWN,0,NA,0,9.227272987365723,NA,NA,1,0,NA,NA,NA,NA,NA,NA
TZA,1,0.06666667014360428,0.921500027179718,6.636363506317139,6.253829002380371,5.63478946685791,0,1,1,47.91999816894531,81.5,25.090240478515625,0.08818899840116501,0.06666699796915054
UGA,1,0.011111111380159855,0.949999988079071,4.454545497894287,6.966024398803711,5.63478946685791,0,1,1,39.63999938964844,107,21.57431983947754,0,0.011110999621450901
UKR,0,0.5444444417953491,0,NA,7.811973571777344,NA,0,0,NA,NA,NA,NA,NA,NA
URY,0,0.36666667461395264,0,7,9.031213760375977,4.2626800537109375,0,0,1,73.93000030517578,17.5,18.399999618530273,0.3123289942741394,0.3666670024394989
USA,0,0.42222222685813904,0,10,10.215740203857422,2.70805025100708,0,1,1,76.69999694824219,7.099999904632568,11.199999809265137,0.11173199862241745,0.42222198843955994
UZB,0,0.4555555582046509,0,NA,7.807916641235352,NA,1,0,NA,NA,NA,NA,NA,NA
VEN,0,0.08888889104127884,0.007040000054985285,7.136363506317139,9.071078300476074,4.357990264892578,0,1,1,72.410003662109375,20.899999618530273,24.799999237060547,0.2444089949131012,0.08888900279998779
VNM,0,0.17777778208255768,0.7010999917984009,6.409090995788574,7.279318809509277,4.9416422843933105,1,1,1,67.38999938964844,38.20000076293945,25.557140350341797,0.570281982421875,0.17777800559997559
YEM,0,0.1666666716337204,0.7678800225257874,6.363636493682861,6.646390438079834,NA,1,0,NA,NA,NA,NA,NA,NA
YUG,0,0.4888888895511627,0,6.318181991577148,NA,NA,0,0,NA,NA,NA,NA,NA,NA
ZAF,1,0.3222222328186035,0.10449999570846558,6.863636493682861,8.885993957519531,2.740839958190918,0,0,1,54.72999954223633,59.20000076293945,17.700000762939453,0.1963299959897995,0.3222219944000244
ZAR,1,0,0.949999988079071,3.5,6.866933345794678,5.4806389808654785,0,1,1,50.790000915527344,90.19999694824219,23.354549407958984,0.003986999858170748,0
ZMB,1,0.1666666716337204,0.949999988079071,6.636363506317139,6.8134446144104,NA,0,1,NA,NA,NA,NA,NA,NA
ZWE,1,0.2222222238779068,0.6079999804496765,6,7.6962127685546875,NA,0,1,NA,NA,NA,NA,NA,NA
